2019-04-15 14:51:31,296 [main] INFO  SocketServer - ===start socket:7780
2019-04-15 14:51:33,778 [nioEventLoopGroup-3-1] INFO  BaseChannelHandler - add connect:/127.0.0.1:59732
2019-04-15 14:51:33,779 [nioEventLoopGroup-3-1] INFO  BaseChannelHandler - channelActive:/127.0.0.1:59732在线
2019-04-15 14:51:38,933 [nioEventLoopGroup-3-1] INFO  BaseChannelHandler - receiveMsgBytes长度=99
2019-04-15 14:51:38,936 [nioEventLoopGroup-3-1] INFO  BaseChannelHandler - channelRead  16 hexString =5b59572a3837323031383032303134323136382a303141372a303034352a494e49542c2c302c5930315f4b325f524441363632355f52454e51495f4c455f4449414e5f4c494e55582e302e3936372e51474a5f56312e302c303030302c303030302c30
2019-04-15 14:51:38,938 [nioEventLoopGroup-3-1] INFO  BaseChannelHandler - hexString的长度=198
2019-04-15 14:51:38,938 [nioEventLoopGroup-3-1] INFO  BaseChannelHandler - 开头=[YW*
2019-04-15 14:51:38,938 [nioEventLoopGroup-3-1] INFO  BaseChannelHandler - len=69
2019-04-15 14:51:38,938 [nioEventLoopGroup-3-1] INFO  BaseChannelHandler - cmd=IN
2019-04-15 14:51:38,938 [nioEventLoopGroup-3-1] INFO  BaseChannelHandler - [/127.0.0.1:59732]原始16进制文本数据:5b59572a3837323031383032303134323136382a303141372a303034352a494e49542c2c302c5930315f4b325f524441363632355f52454e51495f4c455f4449414e5f4c494e55582e302e3936372e51474a5f56312e302c303030302c303030302c30
2019-04-15 14:51:38,938 [nioEventLoopGroup-3-1] INFO  BusinessHandler - 5b59572a3837323031383032303134323136382a303141372a303034352a494e49542c2c302c5930315f4b325f524441363632355f52454e51495f4c455f4449414e5f4c494e55582e302e3936372e51474a5f56312e302c303030302c303030302c30
2019-04-15 14:51:38,939 [nioEventLoopGroup-3-1] INFO  BusinessHandler - [/127.0.0.1:59732]原始发送信息字符串:[YW*872018020142168*01A7*0045*INIT,,0,Y01_K2_RDA6625_RENQI_LE_DIAN_LINUX.0.967.QGJ_V1.0,0000,0000,0]
2019-04-15 14:51:38,939 [nioEventLoopGroup-3-1] INFO  SocketBusinessFactory - *****cmd:INIT
2019-04-15 14:51:38,939 [nioEventLoopGroup-3-1] INFO  LimitCache - getResource redis size is -------->>>0 getNumIdle: 0 getNumWaiters: 0
2019-04-15 14:51:38,956 [nioEventLoopGroup-3-1] INFO  LimitCache - before close redis size is -------->>>1 getNumIdle: 0 getNumWaiters: 0
2019-04-15 14:51:38,956 [nioEventLoopGroup-3-1] INFO  LimitCache - after close redis size is -------->>>0 getNumIdle: 1 getNumWaiters: 0
2019-04-15 14:51:39,218 [nioEventLoopGroup-3-1] INFO  DruidDataSource - {dataSource-1} inited
2019-04-15 14:51:39,247 [nioEventLoopGroup-3-1] INFO  LimitCache - getResource redis size is -------->>>0 getNumIdle: 1 getNumWaiters: 0
2019-04-15 14:51:39,247 [nioEventLoopGroup-3-1] INFO  LimitCache - before close redis size is -------->>>1 getNumIdle: 0 getNumWaiters: 0
2019-04-15 14:51:39,248 [nioEventLoopGroup-3-1] INFO  LimitCache - after close redis size is -------->>>0 getNumIdle: 1 getNumWaiters: 0
2019-04-15 14:51:39,248 [nioEventLoopGroup-3-1] INFO  LimitCache - getResource redis size is -------->>>0 getNumIdle: 1 getNumWaiters: 0
2019-04-15 14:51:39,248 [nioEventLoopGroup-3-1] INFO  LimitCache - before close redis size is -------->>>1 getNumIdle: 0 getNumWaiters: 0
2019-04-15 14:51:39,248 [nioEventLoopGroup-3-1] INFO  LimitCache - after close redis size is -------->>>0 getNumIdle: 1 getNumWaiters: 0
2019-04-15 14:51:39,248 [nioEventLoopGroup-3-1] INFO  LoginService - 保存手表登录信息,imei872018020142168deviceid=1
